social_site,date,number_results,error
telegram,2022-01-12,71,NA
truth_social,2022-01-12,0,NA
gettr,2022-01-12,324,NA
parler,2022-01-12,40,NA
gab,2022-01-12,181,NA
telegram,2022-01-13,67,NA
truth_social,2022-01-13,0,NA
gettr,2022-01-13,208,NA
parler,2022-01-13,28,NA
gab,2022-01-13,175,NA
telegram,2022-01-14,20,NA
truth_social,2022-01-14,0,NA
gettr,2022-01-14,143,NA
parler,2022-01-14,31,NA
gab,2022-01-14,140,NA
telegram,2022-01-15,40,NA
truth_social,2022-01-15,0,NA
gettr,2022-01-15,164,NA
parler,2022-01-15,38,NA
gab,2022-01-15,162,NA
telegram,2022-01-16,23,NA
truth_social,2022-01-16,0,NA
gettr,2022-01-16,182,NA
parler,2022-01-16,28,NA
gab,2022-01-16,130,NA
telegram,2022-01-17,18,NA
truth_social,2022-01-17,0,NA
gettr,2022-01-17,210,NA
parler,2022-01-17,42,NA
gab,2022-01-17,138,NA
telegram,2022-01-18,49,NA
truth_social,2022-01-18,0,NA
gettr,2022-01-18,182,NA
parler,2022-01-18,36,NA
gab,2022-01-18,150,NA
telegram,2022-01-19,18,NA
truth_social,2022-01-19,0,NA
gettr,2022-01-19,198,NA
parler,2022-01-19,22,NA
gab,2022-01-19,163,NA
telegram,2022-01-20,31,NA
truth_social,2022-01-20,0,NA
gettr,2022-01-20,497,NA
parler,2022-01-20,21,NA
gab,2022-01-20,442,NA
telegram,2022-01-21,37,NA
truth_social,2022-01-21,0,NA
gettr,2022-01-21,477,NA
parler,2022-01-21,29,NA
gab,2022-01-21,517,NA
telegram,2022-01-22,30,NA
truth_social,2022-01-22,0,NA
gettr,2022-01-22,276,NA
parler,2022-01-22,27,NA
gab,2022-01-22,185,NA
telegram,2022-01-23,26,NA
truth_social,2022-01-23,0,NA
gettr,2022-01-23,249,NA
parler,2022-01-23,35,NA
gab,2022-01-23,136,NA
telegram,2022-01-24,60,NA
truth_social,2022-01-24,0,NA
gettr,2022-01-24,377,NA
parler,2022-01-24,63,NA
gab,2022-01-24,378,NA
telegram,2022-01-25,59,NA
truth_social,2022-01-25,0,NA
gettr,2022-01-25,370,NA
parler,2022-01-25,58,NA
gab,2022-01-25,319,NA
telegram,2022-01-26,45,NA
truth_social,2022-01-26,0,NA
gettr,2022-01-26,292,NA
parler,2022-01-26,32,NA
gab,2022-01-26,267,NA
telegram,2022-01-27,46,NA
truth_social,2022-01-27,0,NA
gettr,2022-01-27,185,NA
parler,2022-01-27,37,NA
gab,2022-01-27,191,NA
telegram,2022-01-28,77,NA
truth_social,2022-01-28,0,NA
gettr,2022-01-28,399,NA
parler,2022-01-28,41,NA
gab,2022-01-28,353,NA
telegram,2022-01-29,42,NA
truth_social,2022-01-29,0,NA
gettr,2022-01-29,190,NA
parler,2022-01-29,27,NA
gab,2022-01-29,135,NA
